study_name,year,species,site_id,site_name,latitude,longitude,substrate,fund_source,deployment_date,retrieval_date,sample_id,lab,lab_sample_id,lab_set_name,lab_analysis_date,analyte,wet_value,blank_corrected_value,q_dalifier,units,reported_as,pct_solids,dry_value
MWPE,2013,Mytilus trossulus,CPS_SCP,Seahurst Co Pk,47.484481,-122.361764,cobble_sad,NEP,2012-11-14T00:00:00Z,2013-01-09T00:00:00Z,CPS_SCP,NOAA,119-1683,MW2884,2013-06-04T00:00:00Z,lipids,0.74892321356499,0.74892321356499,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_RW9,Tacoma Ruston Waterfront 9,47.2769750095903,-122.468383284285,cobble_sad,TPCPHD,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13CPS_RW9-MTW01,NOAA,119-1638,MW2882,2013-05-30T00:00:00Z,lipids,0.74901934247232,0.74901934247232,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,HC_HO,"Hood Canal, Holly",47.5705775,-122.9715404,cobble_sad,Kitsap Co. Public Works,2012-11-14T00:00:00Z,2013-01-11T00:00:00Z,13HC_HO-MTW01,NOAA,119-1735,MW2887,2013-06-26T00:00:00Z,SumPBDEs11,0.75,NA,"D,LOQ",ng/g,wet,14.7041478277963,5.10060160427809
MWPE,2013,Mytilus trossulus,WB_PSWB,"Port Susan, Warm Bch",48.17051,-122.3669,mud_sand,Stillaguamish Clean Rvr District (Sean Edwards),2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,13WB_PSWB-MTW01,NOAA,119-1756,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.76,NA,D,ng/g,wet,16.2725026473702,4.67045553145338
MWPE,2013,Mytilus trossulus,EB_FMR,"Elliott Bay, 4-Mile Rock",47.63848,-122.41216,cobble_sad,NEP,2012-11-12T00:00:00Z,2013-01-09T00:00:00Z,13EB_FMR-MTW01,NOAA,119-1640,MW2882,2013-05-30T00:00:00Z,lipids,0.76433412291882,0.76433412291882,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_RWPC,"Tacoma, Ruston Way, Puget Crk",47.2810781188309,-122.477146564051,cobble_sad,NEP,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,CPS_RWPC,NOAA,119-1682,MW2884,2013-06-04T00:00:00Z,lipids,0.76884334044881,0.76884334044881,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_CBSW,"Commencement Bay, Skookum Wuldge",47.289794711396,-122.409946415573,mud_sand,NEP,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,CPS_CBSW,NOAA,119-1671,MW2884,2013-06-04T00:00:00Z,lipids,0.76896162031941,0.76896162031941,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_HYW6,Hylebos Waterway 6,47.26749,-122.37228,cobble,TPCPHD,2012-11-14T00:00:00Z,2013-01-09T00:00:00Z,13CPS_HYW6-MTW01,NOAA,119-1620,MW2881,2013-05-22T00:00:00Z,lipids,0.77431127089971,0.77431127089971,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,SPS_SBP,"Steilacoom, Sunnyside Bch Pk",47.17899,-122.5902,cobble_sad,NEP,2012-11-12T00:00:00Z,2013-01-08T00:00:00Z,SPS_SBP,NOAA,119-1701,MW2885,2013-06-13T00:00:00Z,lipids,0.77499692324248,0.77499692324248,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_FBAR,"Fidalgo Bay Aq Res, Weaverling Spit",48.4824478833333,-122.583879266666,cobble_mud,DNR Aq.Rs.,2012-11-14T00:00:00Z,2013-01-08T00:00:00Z,13NPS_FBAR-MTW01,NOAA,119-1749,MW2888,2013-07-16T00:00:00Z,lipids,0.78393767222976,0.78393767222976,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,SPS_KSP,Kopachuck St Pk,47.3103,-122.68801,sand,NEP,2012-11-14T00:00:00Z,2013-01-08T00:00:00Z,13SPS_KSP-MTW01,NOAA,119-1645,MW2882,2013-05-30T00:00:00Z,lipids,0.79447170224698,0.79447170224698,D,%,wet,NA,NA
MWPE,2013,Mytilus sp.,WB_KPN,Kayak Pt Natives,48.13365,-122.36568,sand,SCMRC,NA,2013-01-07T00:00:00Z,13WB_KPN-MXW01,NOAA,119-1927,MW2937,2013-10-30T00:00:00Z,lipids,0.79592178169561,0.79592178169561,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,SPS_TI,Totten Inlet,47.13268,-123.0216,mud_sand,NEP,2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,SPS_TI,NOAA,119-2043,MW2967,2013-11-21T00:00:00Z,lipids,0.79747221287574,0.79747221287574,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,WB_EH,Everett Hbr,47.972103,-122.231625,sand,NEP,2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,13WB_EH-MTW01,NOAA,119-1824,MW2905,2013-06-27T00:00:00Z,lipids,0.79872375666367,0.79872375666367,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,SPS_JP,Johnson Pt,47.17825,-122.81553,cobble_sad,NEP,2012-11-13T00:00:00Z,2013-01-11T00:00:00Z,SPS_JP,NOAA,119-1699,MW2885,2013-06-13T00:00:00Z,lipids,0.79960344494288,0.79960344494288,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,WB_PCB06,"Penn Cove, Pre-test Baseline 6",NA,NA,NA,NA,NA,NA,13WB_PCB-MTW06,NOAA,119-1832,MW2905,2013-06-27T00:00:00Z,SumPBDEs11,0.8,NA,"D,LOQ",ng/g,wet,16.0874089490114,4.97283311772317
PSMM2016,2016,Mytilus trossulus,PSS13175-000625,"Gig Harbor, Mulligan",47.33064,-122.57554,mud_sand,Pierce County,2015-10-26T00:00:00Z,2016-02-06T00:00:00Z,16RSMP625-MTW01,NOAA,119-3293,PS3342,2016-05-25T00:00:00Z,SumPBDEs11,0.8,NA,D,ng/g,wet,16.88036159,4.73923497275037
MWPE,2013,Mytilus trossulus,CPS_CP,Carkeek Pk,47.71325,-122.38059,sand,Puget Soundkeeper Alliance,2012-11-12T00:00:00Z,2013-01-09T00:00:00Z,13CPS_CP-MTW01,NOAA,119-1729,MW2887,2013-06-26T00:00:00Z,lipids,0.80180552695038,0.80180552695038,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_PJ,Pt Jefferson,47.77971,-122.48229,sand,NEP,2012-11-13T00:00:00Z,2013-01-10T00:00:00Z,WPS_PJ,NOAA,119-2051,MW2967,2013-11-21T00:00:00Z,lipids,0.80180692333359,0.80180692333359,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_BP,Birch Pt,48.939,-122.82,cobble_sad,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_BP,NOAA,119-1693,MW2885,2013-06-13T00:00:00Z,lipids,0.80208394324496,0.80208394324496,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,WPS_IC,Illahee Creek,47.615868,-122.594947,cobble_gravel,Kitsap County,2015-10-26T00:00:00Z,2016-02-07T00:00:00Z,16WPS_IC-MTW01,NOAA,119-3309,PS3343,2016-05-19T00:00:00Z,lipids,0.803659278,0.803659278,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_RW4,Tacoma Ruston Waterfront 4,47.2790900152176,-122.473749965429,mud_sand,TPCPHD,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13CPS_RW4-MTW01,NOAA,119-1633,MW2882,2013-05-30T00:00:00Z,lipids,0.80580057847099,0.80580057847099,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_RW5,Tacoma Ruston Waterfront 5,47.2785499691963,-122.472689989954,mud_sand,TPCPHD,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13CPS_RW5-MTW01,NOAA,119-1634,MW2882,2013-05-30T00:00:00Z,lipids,0.80682320327428,0.80682320327428,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_MIAR,"Maury Is Aq Res, Old Marine Pk",47.37995,-122.4017,cobble_sad,DNR Aq.Rs.,2012-11-14T00:00:00Z,2013-01-10T00:00:00Z,13CPS_MIAR-MTW01,NOAA,119-1732,MW2887,2013-06-26T00:00:00Z,lipids,0.80843317928985,0.80843317928985,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_CVP,"Colvos Pass, Olalla, Prospect Pt Bch",47.42329,-122.5365,cobble_sad,NEP,2012-11-14T00:00:00Z,2013-01-08T00:00:00Z,CPS_CVP,NOAA,119-1673,MW2884,2013-06-04T00:00:00Z,lipids,0.80974626506622,0.80974626506622,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_BPP,"Bellingham Bay, Post Pt",48.7194,-122.5167,cobble_sad,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_BPP,NOAA,119-1694,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.81,NA,D,ng/g,wet,14.7951142631993,5.47478029294277
MWPE,2013,Mytilus trossulus,CPS_DP,"Discovery Pk, West Pt",47.66233,-122.43596,cobble_sad,NEP,2012-11-12T00:00:00Z,2013-01-09T00:00:00Z,CPS_DP,NOAA,119-1676,MW2884,2013-06-04T00:00:00Z,lipids,0.81311621768496,0.81311621768496,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_LP,Lincoln Pk,47.5308972222222,-122.401483333333,cobble_sad,King County,2012-11-12T00:00:00Z,2013-01-09T00:00:00Z,13CPS_LP-MTW01,NOAA,119-1731,MW2887,2013-06-26T00:00:00Z,lipids,0.81343866746731,0.81343866746731,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_RW3,Tacoma Ruston Waterfront 3,47.2795385308563,-122.474302919581,cobble_sad,TPCPHD,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13CPS_RW3-MTW01,NOAA,119-1626,MW2881,2013-05-22T00:00:00Z,lipids,0.81477345561382,0.81477345561382,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,WB_HP,Hermosa Pt,48.06175,-122.29294,cobble_sad,NEP,2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,13WB_HP-MTW01,NOAA,119-1825,MW2905,2013-06-27T00:00:00Z,lipids,0.81816413569968,0.81816413569968,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,SJI_LIFB,"Fisherman's Bay, Weeks Wetland, Lopez Is",48.51884,-122.91689,mud_sand,San Juan County MRC,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13SJI_LIFB-MTW01,NOAA,119-1752,MW2888,2013-07-16T00:00:00Z,lipids,0.82420016428379,0.82420016428379,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,SPS_SBP,"Steilacoom, Sunnyside Bch Pk",47.17899,-122.5902,cobble_sad,NEP,2012-11-12T00:00:00Z,2013-01-08T00:00:00Z,SPS_SBP,NOAA,119-1701,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.83,NA,D,ng/g,wet,14.0364188163884,5.91318918918922
PSMM2016,2016,Mytilus trossulus,CPS_SB,Salmon Bay,47.66631,-122.40179,mud_sand,WDFW,2015-10-26T00:00:00Z,2016-02-09T00:00:00Z,16CPS_SB-MTW01,NOAA,119-3320,PS3344,2016-05-24T00:00:00Z,lipids,0.837852679,0.837852679,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,NPS_BLSC,"Bellingham Bay, Little Squalicum Creek",48.7639,-122.5175,gravel_sand,City of Bellingham,2015-10-27T00:00:00Z,2016-02-08T00:00:00Z,16NPS_BLSC-MTW01,NOAA,119-3325,PS3344,2016-05-24T00:00:00Z,SumPBDEs11,0.84,NA,"D,B,LOQ",ng/g,wet,14.67840939,5.72269091072136
MWPE,2013,Mytilus trossulus,CPS_VF,"Vashon Ferry, N End Boat Ramp",47.5091,-122.46328,sand,NEP,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,CPS_VF,NOAA,119-1690,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.84,NA,D,ng/g,wet,14.488468361916,5.7977142857143
MWPE,2013,Mytilus trossulus,CPS_AB,"Elliott Bay, Alki-Duwamish Hd",47.58934,-122.39533,sand,NEP,2012-11-12T00:00:00Z,2013-01-09T00:00:00Z,13EB_AB-MTW01,NOAA,119-1639,MW2882,2013-05-30T00:00:00Z,lipids,0.84183603393159,0.84183603393159,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_VF,"Vashon Ferry, N End Boat Ramp",47.5091,-122.46328,sand,NEP,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,CPS_VF,NOAA,119-1690,MW2885,2013-06-13T00:00:00Z,lipids,0.84261075975663,0.84261075975663,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_DMCP,"Maxwelton, Dave Mackie Co Pk",47.94,-122.447,sand,NEP,2012-11-12T00:00:00Z,2013-01-10T00:00:00Z,WB_DMCP,NOAA,119-2045,MW2967,2013-11-21T00:00:00Z,lipids,0.84301960003665,0.84301960003665,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_RW7,Tacoma Ruston Waterfront 7,47.2779299598187,-122.471249978989,cobble_sad,TPCPHD,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13CPS_RW7-MTW01,NOAA,119-1636,MW2882,2013-05-30T00:00:00Z,lipids,0.84656786158668,0.84656786158668,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,EB_P59,"Elliott Bay, Seattle Aquarium, Pier 59",47.607429,-122.342491,mud_sand,NEP,2012-11-12T00:00:00Z,2013-01-09T00:00:00Z,13EB_P59-MTW01,NOAA,119-1643,MW2882,2013-05-30T00:00:00Z,lipids,0.84802142755617,0.84802142755617,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,WPS_BSF,"Bremerton Shipyard, Ferry Term",47.56037,-122.62778,cobble,NEP,2012-11-14T00:00:00Z,2013-01-09T00:00:00Z,WPS_BSF,NOAA,119-2049,MW2967,2013-11-21T00:00:00Z,lipids,0.8482764539068,0.8482764539068,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_CBSW,"Commencement Bay, Skookum Wuldge",47.289794711396,-122.409946415573,mud_sand,NEP,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,CPS_CBSW,NOAA,119-1931,MW2937,2013-10-30T00:00:00Z,lipids,0.84886464461642,0.84886464461642,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,PSS13175-000013,Ruston Way,47.29267,-122.494966,gravel_sand,RSMP/SAM,2015-10-26T00:00:00Z,2016-02-09T00:00:00Z,16RSMP013-MTW01,NOAA,119-3237,PS3339,2016-04-27T00:00:00Z,lipids,0.849636182,0.849636182,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,SPS_TSP,Tolmie St Pk,47.121988,-122.772879,mud_sand,NEP,2012-11-12T00:00:00Z,2013-01-08T00:00:00Z,13SPS_TSP-MTW01,NOAA,119-1822,MW2905,2013-06-27T00:00:00Z,lipids,0.85251096699233,0.85251096699233,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,CPS_MASO,"Manchester, Stormwater Outfall",47.55622,-122.54281,cobble_gravel,Kitsap County,2015-10-26T00:00:00Z,2016-02-07T00:00:00Z,16CPS_MASO-MTW01,NOAA,119-3306,PS3343,2016-05-19T00:00:00Z,SumPBDEs11,0.86,NA,D,ng/g,wet,15.88941636,5.41240773427628
PSMM2016,2016,Mytilus trossulus,PSS13175-000026,N of Illahee State Park,47.603334,-122.596606,cobble_gravel,RSMP/SAM,2015-10-26T00:00:00Z,2016-02-07T00:00:00Z,16RSMP026-MTW01,NOAA,119-3255,PS3340,2016-05-17T00:00:00Z,SumPBDEs11,0.86,NA,D,ng/g,wet,15.15813468,5.67352130163287
MWPE,2013,Mytilus trossulus,WB_DPSP,"Deception Pass St Pk, Cornet Bay",48.4022,-122.621183333333,sand,NEP,2012-11-12T00:00:00Z,2013-01-10T00:00:00Z,WB_DPSP,NOAA,119-2046,MW2967,2013-11-21T00:00:00Z,lipids,0.86104110776902,0.86104110776902,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_CBTF,Thea Foss Waterway,47.2593452688306,-122.434773445129,rock,NEP,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,CPS_CBTF,NOAA,119-1672,MW2884,2013-06-04T00:00:00Z,lipids,0.86244365698676,0.86244365698676,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,PSS13175-000030,Kitsap St Boat Launch,47.54156,-122.64034,gravel_sand,RSMP/SAM,2015-10-27T00:00:00Z,2016-02-10T00:00:00Z,16RSMP030-MTW01,NOAA,119-3265,PS3341,2016-05-17T00:00:00Z,lipids,0.863287871,0.863287871,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,CPS_SHLB,Shilshole Bay,47.67136,-122.40654,cobble_gravel,King County,2015-10-26T00:00:00Z,2016-02-10T00:00:00Z,16CPS_SHLB-MTW01,NOAA,119-3304,PS3343,2016-05-19T00:00:00Z,lipids,0.879607858,0.879607858,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,EB_P17,"Elliott Bay, Hbr Is, Pier 17",47.58772,-122.35065,rock,NEP,2012-11-12T00:00:00Z,2013-01-07T00:00:00Z,13EB_P17-MTW01,NOAA,119-1642,MW2882,2013-05-30T00:00:00Z,lipids,0.87966867152546,0.87966867152546,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,SJI_CIAR2,"Cypress Is Aq Res, Strawberry Bay",48.5637,-122.7222,mud_sand,DNR Aq.Rs.,2012-11-13T00:00:00Z,2013-01-14T00:00:00Z,13NPS_CIAR2-MTW01,NOAA,119-1739,MW2887,2013-06-26T00:00:00Z,lipids,0.88062188568921,0.88062188568921,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_RW1,Tacoma Ruston Waterfront 1,47.2809108998626,-122.476550443097,sand,TPCPHD,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13CPS_RW1-MTW01,NOAA,119-1624,MW2881,2013-05-22T00:00:00Z,lipids,0.88458762639649,0.88458762639649,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_BBS,"Cherry Pt Aq Res, Birch Bay S",48.8962,-122.7854,sand,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_BBS,NOAA,119-1692,MW2885,2013-06-13T00:00:00Z,lipids,0.88667934545326,0.88667934545326,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,SPS_PBL,"Purdy, Burley Lagoon",47.386977,-122.636709,clay_mud_sand,EPA,2015-10-26T00:00:00Z,2016-02-10T00:00:00Z,16SPS_PBL-MTW01,NOAA,119-3326,PS3344,2016-05-24T00:00:00Z,lipids,0.893706284,0.893706284,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_RW6,Tacoma Ruston Waterfront 6,47.2782700136303,-122.472090013325,mud_sand,TPCPHD,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13CPS_RW6-MTW01,NOAA,119-1635,MW2882,2013-05-30T00:00:00Z,lipids,0.89599247624724,0.89599247624724,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_HCV,"Port Madison, Hidden Cove",47.6941,-122.5454,mud,NEP,2012-11-13T00:00:00Z,2013-01-10T00:00:00Z,CPS_HCV,NOAA,119-1677,MW2884,2013-06-04T00:00:00Z,lipids,0.89661165797061,0.89661165797061,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_CPAR3,"Cherry Pt Aq Res, 3 Alcoa-BP",48.85459,-122.72732,cobble_sad,SSA Marine,2012-11-14T00:00:00Z,2013-01-09T00:00:00Z,13NPS_CPAR3-MTW01,NOAA,119-1747,MW2888,2013-07-16T00:00:00Z,lipids,0.8976522570231,0.8976522570231,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_HYW3,Hylebos Waterway 3,47.26923,-122.37507,cobble,TPCPHD,2012-11-14T00:00:00Z,2013-01-09T00:00:00Z,13CPS_HYW3-MTW01,NOAA,119-1617,MW2881,2013-05-22T00:00:00Z,lipids,0.89900803369613,0.89900803369613,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_CIAR1,"Cypress Is Aq Res, Secret Hbr",48.55385,-122.68808,cobble_mud,DNR Aq.Rs.,2012-11-13T00:00:00Z,2013-01-14T00:00:00Z,13NPS_CIAR1-MTW01,NOAA,119-1738,MW2887,2013-06-26T00:00:00Z,SumPBDEs11,0.9,NA,"D,LOQ",ng/g,wet,16.8534982605334,5.34013761467891
PSMM2016,2016,Mytilus trossulus,NPS_BLSC,"Bellingham Bay, Little Squalicum Creek",48.7639,-122.5175,gravel_sand,City of Bellingham,2015-10-27T00:00:00Z,2016-02-08T00:00:00Z,16NPS_BLSC-MTW01,NOAA,119-3325,PS3344,2016-05-24T00:00:00Z,lipids,0.900073432,0.900073432,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,PSS13175-000025,Blair Waterway,47.27578,-122.41737,gravel_sand,RSMP/SAM,2015-10-28T00:00:00Z,2016-02-09T00:00:00Z,16RSMP025-MTW01,NOAA,119-3254,PS3340,2016-05-17T00:00:00Z,lipids,0.900837221,0.900837221,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_BSH,"Bellingham Bay, Squalicum Hbr",48.75334,-122.4993,rock,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,13NPS_BSH-MTW01,NOAA,119-1644,MW2882,2013-05-30T00:00:00Z,lipids,0.90551939182915,0.90551939182915,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,PSS13175-000008,Chimacum Creek delta,48.04902,-122.77225,mud_sand,RSMP/SAM,2015-10-27T00:00:00Z,2016-02-05T00:00:00Z,16RSMP008-MTW01,NOAA,119-3234,PS3339,2016-04-27T00:00:00Z,lipids,0.906498539,0.906498539,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,SPS_PBL,"Purdy, Burley Lagoon",47.386977,-122.636709,clay_mud_sand,EPA,2015-10-26T00:00:00Z,2016-02-10T00:00:00Z,16SPS_PBL-MTW01,NOAA,119-3326,PS3344,2016-05-24T00:00:00Z,SumPBDEs11,0.91,NA,"D,B,LOQ",ng/g,wet,14.58756228,6.23819101871214
MWPE,2013,Mytilus trossulus,SJI_SJFH,"Friday Hbr Labs, San Juan Is",48.5453333333333,-123.013191666666,cobble_sad,San Juan County MRC,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13SJI_SJFH-MTW01,NOAA,119-1754,MW2888,2013-07-16T00:00:00Z,lipids,0.910136840905,0.910136840905,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_EF,Edmonds Ferry,47.8141833333333,-122.38215,sand,NEP,2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,13WB_EF-MTW01,NOAA,119-1823,MW2905,2013-06-27T00:00:00Z,lipids,0.9115112061253,0.9115112061253,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,PSS13175-000011,South Bay Trail,48.725731,-122.506264,cobble_gravel,RSMP/SAM,2015-10-27T00:00:00Z,2016-02-08T00:00:00Z,16RSMP011-MTW01,NOAA,119-3236,PS3339,2016-04-27T00:00:00Z,lipids,0.913353356,0.913353356,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,SPS_SH,"Shelton, Oak Bay Marina",47.21418,-123.08637,mud,NEP,2012-11-12T00:00:00Z,2013-01-07T00:00:00Z,SPS_SH,NOAA,119-1702,MW2885,2013-06-13T00:00:00Z,lipids,0.91559298326568,0.91559298326568,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_CPAR1,"Cherry Pt Aq Res, 1 Alcoa-BP",48.85843,-122.74073,cobble,SSA Marine,2012-11-14T00:00:00Z,2013-01-09T00:00:00Z,13NPS_CPAR1-MTW01,NOAA,119-1740,MW2887,2013-06-26T00:00:00Z,lipids,0.91733233245647,0.91733233245647,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,HC_PGW,"Port Gamble, W",47.84206,-122.58505,mud_sand,Port Gamble S'klallam Tribe,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,13WPS_PGW-MTW01,NOAA,119-1770,MW2889,2013-07-22T00:00:00Z,lipids,0.92617353655737,0.92617353655737,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,WB_MBG,"Mukilteo WWTP, Big Gulch",47.91071,-122.3222,sand,NEP,2012-11-12T00:00:00Z,2013-01-08T00:00:00Z,WB_MBG,NOAA,119-2047,MW2967,2013-11-21T00:00:00Z,lipids,0.92678347042567,0.92678347042567,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,CPS_MASO,"Manchester, Stormwater Outfall",47.55622,-122.54281,cobble_gravel,Kitsap County,2015-10-26T00:00:00Z,2016-02-07T00:00:00Z,16CPS_MASO-MTW01,NOAA,119-3306,PS3343,2016-05-19T00:00:00Z,lipids,0.927258352,0.927258352,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_BPP,"Bellingham Bay, Post Pt",48.7194,-122.5167,cobble_sad,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_BPP,NOAA,119-1694,MW2885,2013-06-13T00:00:00Z,lipids,0.93211584750369,0.93211584750369,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_RH,Richmond Highlands Bch,47.72948,-122.37368,cobble_sad,NEP,2012-11-15T00:00:00Z,2013-01-09T00:00:00Z,CPS_RH,NOAA,119-1681,MW2884,2013-06-04T00:00:00Z,lipids,0.93253925161501,0.93253925161501,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,WB_KP,Kayak Pt,48.13365,-122.36568,sand,NEP,2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,13WB_KP-MTW01,NOAA,119-1826,MW2905,2013-06-27T00:00:00Z,lipids,0.93453728259633,0.93453728259633,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_EH,"Eagle Hbr, Bainbridge Ferry Term",47.6227,-122.5101,cobble_sad,NEP,2012-11-13T00:00:00Z,2013-01-10T00:00:00Z,13CPS_EH-MTW01,NOAA,119-1614,MW2881,2013-05-22T00:00:00Z,lipids,0.93821542032652006,0.93821542032652006,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_HCV,"Port Madison, Hidden Cove",47.6941,-122.5454,mud,NEP,2012-11-13T00:00:00Z,2013-01-10T00:00:00Z,CPS_HCV,NOAA,119-1677,MW2884,2013-06-04T00:00:00Z,SumPBDEs11,0.94,NA,"D,LOQ",ng/g,wet,13.8765240952196,6.7740306834031
MWPE,2013,Mytilus trossulus,CB_RW2,Tacoma Ruston Waterfront 2,47.2805628832429,-122.475914089009,sand,TPCPHD,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13CPS_RW2-MTW01,NOAA,119-1625,MW2881,2013-05-22T00:00:00Z,lipids,0.94056249365418,0.94056249365418,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,PSS13175-000018,Seahurst,47.463217,-122.369067,mud_sand,RSMP/SAM,2015-10-26T00:00:00Z,2016-02-09T00:00:00Z,16RSMP018-MTW01,NOAA,119-3248,PS3340,2016-05-17T00:00:00Z,lipids,0.942897454,0.942897454,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_PNP,Point No Point,47.90860277,-122.52672253,cobble_sad,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,CPS_PNP,NOAA,119-1679,MW2884,2013-06-04T00:00:00Z,lipids,0.94418967470378,0.94418967470378,D,%,wet,NA,NA
